,Length,Speed,Frequency,Head Amplitde,Mid Amplitude,Tail Amplitude,Wave Speed,Wave Length,Mean curvature
,L(mm),U(mm/s),f(Hz),A_h(mm),A_m(mm),A_t(mm),c(mm/s),/\(mm),k_avg(1/mm)
1,0.9356,0.2365,2.0752,0.213,0.121,0.1134,4.09,1.97,3.85
2,0.9505,0.3093,2.4414,0.2187,0.1282,0.1211,4.5,1.84,3.76
3,0.9489,0.2993,2.3006,0.2296,0.1348,0.123,4.35,1.89,3.94
4,0.951,0.4434,2.3193,0.1674,0.1436,0.1357,4.58,1.98,3.36
5,1.0972,0.4547,2.0752,0.2116,0.1635,0.1709,4.33,2.09,3.15
6,0.9262,0.2473,1.9531,0.2421,0.1394,0.1194,5.49,2.81,3.92
7,0.9347,0.425,2.1973,0.1942,0.1504,0.1101,4.48,2.04,3.86
8,0.9553,0.3797,2.1973,0.1731,0.1418,0.1308,4.26,1.94,3.41
9,1.0616,0.5344,2.3193,0.2255,0.1626,0.1807,4.9,2.11,3.4
10,0.9493,0.3524,2.3193,0.2175,0.1341,0.1218,4.83,2.08,3.86
11,0.9478,0.3621,2.3193,0.2246,0.1338,0.1252,5.24,2.26,3.89
12,0.9569,0.4707,2.3193,0.1625,0.1465,0.1417,4.82,2.08,3.42
13,0.9659,0.3071,2.3193,0.1811,0.1674,0.1252,5.15,2.22,3.6
14,0.9995,0.3483,2.3193,0.2139,0.1628,0.1632,6.03,2.6,3.78
15,0.9502,0.2885,2.1973,0.2239,0.1235,0.1265,4.86,2.21,3.78
16,1.0137,0.4499,2.2348,0.2397,0.1633,0.1583,5.6,2.51,3.99
17,0.9572,0.3846,2.4414,0.2103,0.147,0.1651,4.83,1.98,4.14
18,0.9045,0.3985,2.5635,0.1937,0.1379,0.1381,5.29,2.06,4.01
19,0.9885,0.3983,2.4414,0.2424,0.1489,0.136,5.98,2.45,3.84
20,0.9495,0.3431,2.3193,0.1995,0.1209,0.1306,4.72,2.03,3.57
21,0.9664,0.3677,1.9531,0.202,0.1621,0.1475,5.94,3.04,3.45
22,0.9008,0.5549,2.4414,0.224,0.1505,0.1456,5.41,2.22,4.22
